text,label
"Analyzing tracking data, Jokic's true shooting percentage sits at 50.0% in clutch situations, driving their current win streak.",analysis
The Luka are utilizing a specialized 50.3 scheme which accounts for their top 5 defensive rating this month.,analysis
"Film study shows that when Tatum drives left, their assist percentage increases by 50.6% due to weak-side collapses.",analysis
"Statistically, Giannis has a net rating of +50.9 over 100 possessions, proving their massive off-court impact.",analysis
"The team relies heavily on Embiid actions, running it on 51% of their half-court sets to generate corner threes.",analysis
"Analyzing tracking data, Brunson's true shooting percentage sits at 51.5% in clutch situations, driving their current win streak.",analysis
The Ant are utilizing a specialized 51.8 scheme which accounts for their top 5 defensive rating this month.,analysis
"Film study shows that when LeBron drives left, their assist percentage increases by 52.1% due to weak-side collapses.",analysis
"Statistically, Curry has a net rating of +52.4 over 100 possessions, proving their massive off-court impact.",analysis
"The team relies heavily on Wemby actions, running it on 53% of their half-court sets to generate corner threes.",analysis
"Analyzing tracking data, Jokic's true shooting percentage sits at 53.0% in clutch situations, driving their current win streak.",analysis
The Luka are utilizing a specialized 53.3 scheme which accounts for their top 5 defensive rating this month.,analysis
"Film study shows that when Tatum drives left, their assist percentage increases by 53.6% due to weak-side collapses.",analysis
"Statistically, Giannis has a net rating of +53.9 over 100 possessions, proving their massive off-court impact.",analysis
"The team relies heavily on Embiid actions, running it on 54% of their half-court sets to generate corner threes.",analysis
"Analyzing tracking data, Brunson's true shooting percentage sits at 54.5% in clutch situations, driving their current win streak.",analysis
The Ant are utilizing a specialized 54.8 scheme which accounts for their top 5 defensive rating this month.,analysis
"Film study shows that when LeBron drives left, their assist percentage increases by 55.1% due to weak-side collapses.",analysis
"Statistically, Curry has a net rating of +55.4 over 100 possessions, proving their massive off-court impact.",analysis
"The team relies heavily on Wemby actions, running it on 56% of their half-court sets to generate corner threes.",analysis
"Analyzing tracking data, Jokic's true shooting percentage sits at 56.0% in clutch situations, driving their current win streak.",analysis
The Luka are utilizing a specialized 56.3 scheme which accounts for their top 5 defensive rating this month.,analysis
"Film study shows that when Tatum drives left, their assist percentage increases by 56.6% due to weak-side collapses.",analysis
"Statistically, Giannis has a net rating of +56.9 over 100 possessions, proving their massive off-court impact.",analysis
"The team relies heavily on Embiid actions, running it on 57% of their half-court sets to generate corner threes.",analysis
"Analyzing tracking data, Brunson's true shooting percentage sits at 57.5% in clutch situations, driving their current win streak.",analysis
